name,word,count
united,united,2187
party,party,1889
national,national,1881
american,american,1653
john,john,1563
south,south,1527
world,world,1499
british,british,1436
australian,australian,1422
australia,australia,1396
university,university,1366
international,international,1340
house,house,1209
york,york,1184
european,european,1169
wikinews,wikinews,1051
bush,bush,1041
north,north,1038
david,david,983
america,america,956
city,city,945
canada,canada,916
department,department,910
union,union,907
london,london,890
council,council,876
iraq,iraq,875
state,state,875
kingdom,kingdom,857
court,court,853
george,george,850
nations,nations,844
china,china,841
news,news,835
u.s.,u.s.,818
democratic,democratic,814
uk,uk,805
france,france,764
obama,obama,752
washington,washington,719
michael,michael,707
europe,europe,704
us,us,703
bbc,bbc,699
center,center,690
committee,committee,677
west,west,668
east,east,663
paul,paul,648
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
central,central,428
